OTU_ID,SRR900226,SRR901079,SRR901080,SRR901081,SRR901082,SRR901083,SRR901084,SRR901085,SRR901086,SRR901087,SRR901088,SRR901089,SRR901090,SRR901091,SRR901092,SRR901093,SRR901094,SRR901095,SRR901097,SRR901098,SRR901100,SRR901101,SRR901102,SRR901104,SRR901107,SRR901108,SRR901109,SRR901111,SRR901112,SRR901113,SRR901114,SRR901115,SRR901116,SRR901118,SRR901119,SRR901120,SRR901121,SRR901122,SRR901123,SRR901124,SRR901125,SRR901126,SRR901127,SRR901128,SRR901129,SRR901130,SRR901131,SRR901132,SRR901133,SRR901134,SRR901135,SRR901136,SRR901137,SRR901138,SRR901139,SRR901140,SRR901141,SRR901142,SRR901143,SRR901144,Species Assignment,,,,
Otu16,0,0,0,0,0,0,0,0,0,2,3,0,8,5,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verrucomicrobia,Subdivision3,Subdivision3_order_incertae_sedis,Subdivision3_family_incertae_sedis,3_genus_incertae_sedis
Otu17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,13,0,0,0,8,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Craurococcus
Otu18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia
Otu19,0,0,0,0,17,0,0,0,0,0,0,0,0,0,31,6,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Nocardioidaceae_unclassified
Otu20,0,0,1,0,0,0,0,0,0,0,1,0,0,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Acidobacteria,Acidobacteria_Gp4,Acidobacteria_Gp4_order_incertae_sedis,Acidobacteria_Gp4_family_incertae_sedis,Gp4
Otu21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified
Otu22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bacteroidetes,Sphingobacteria,Sphingobacteriales,Chitinophagaceae,Segetibacter
Otu23,0,0,0,0,0,0,0,0,3,2,0,2,7,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Firmicutes,Bacilli,Bacillales,Pasteuriaceae,Pasteuria
Otu24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae_unclassified
Otu25,0,0,0,0,0,2,1,0,0,1,3,4,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verrucomicrobia,Verrucomicrobia_unclassified,Verrucomicrobia_unclassified,Verrucomicrobia_unclassified,Verrucomicrobia_unclassified
